时间,商品名称,库存变化,单笔销量
2026-02-24 11:48:32,日本地址,初始销量: 0,0
2026-02-24 11:48:32,国际地址,初始销量: 0,0
2026-02-24 11:48:32,中国地址,初始销量: 0,0
2026-02-24 11:48:32,韩国地址,初始销量: 0,0
2026-02-24 12:09:39,国际地址,0->-19,19
2026-02-24 12:11:13,韩国地址,0->-21,21
2026-02-24 12:19:00,国际地址,-19->-26,7
2026-02-24 13:00:02,韩国地址,-21->-125,104
2026-02-24 13:28:35,国际地址,-26->-36,10
2026-02-24 13:40:01,国际地址,-36->-44,8
2026-02-24 13:42:05,中国地址,0->-1,1
2026-02-24 13:43:08,国际地址,-44->-60,16
2026-02-24 14:07:00,国际地址,-60->-65,5
2026-02-24 14:07:00,中国地址,-1->-14,13
2026-02-24 14:11:09,中国地址,-14->-27,13
2026-02-24 14:16:21,国际地址,-65->-130,65
2026-02-24 14:46:27,中国地址,-27->-26,-1
2026-02-24 14:53:02,国际地址,-130->-131,1
2026-02-24 15:00:18,国际地址,-131->-133,2
2026-02-24 15:08:37,国际地址,-133->-136,3
2026-02-24 15:19:11,韩国地址,-125->-166,41
2026-02-24 15:23:10,国际地址,-136->-140,4
2026-02-24 15:30:06,中国地址,-26->-27,1
2026-02-24 16:41:16,国际地址,-140->-151,11
2026-02-24 16:49:23,韩国地址,-166->-218,52
2026-02-24 16:50:49,国际地址,-151->-224,73
2026-02-24 17:19:52,国际地址,-224->-234,10
2026-02-24 17:25:03,国际地址,-234->-240,6
2026-02-24 18:17:59,中国地址,-27->-30,3
2026-02-24 18:21:06,中国地址,-30->-31,1
2026-02-24 18:28:22,中国地址,-31->-57,26
2026-02-24 19:05:44,国际地址,-240->-250,10
2026-02-24 19:07:27,韩国地址,-218->-114,-104
2026-02-24 19:24:24,国际地址,-250->-253,3
2026-02-24 19:26:28,中国地址,-57->-53,-4
2026-02-24 19:47:15,中国地址,-53->-27,-26
2026-02-24 21:25:55,日本地址,0->-10,10
2026-02-24 22:05:13,国际地址,-253->-255,2
2026-02-24 22:20:24,韩国地址,-114->-156,42
2026-02-24 22:25:58,国际地址,-255->-244,-11
2026-02-24 22:27:11,日本地址,-10->-21,11
2026-02-24 22:31:50,韩国地址,-156->-198,42
2026-02-24 22:48:42,中国地址,-27->-29,2
2026-02-24 22:49:23,韩国地址,-198->-199,1
2026-02-24 23:12:31,国际地址,-244->-260,16
2026-02-25 00:03:03,韩国地址,-199->-225,26
2026-02-25 00:06:34,中国地址,-29->-27,-2
2026-02-25 00:41:11,国际地址,-260->-270,10
2026-02-25 01:48:09,国际地址,-270->-281,11
2026-02-25 01:50:14,国际地址,-281->-302,21
2026-02-25 02:04:53,国际地址,-302->-303,1
2026-02-25 04:02:31,国际地址,-303->-309,6
2026-02-25 04:26:10,韩国地址,-225->-261,36
2026-02-25 04:27:13,韩国地址,-261->-225,-36
2026-02-25 05:20:34,中国地址,-27->-29,2
2026-02-25 05:29:56,国际地址,-309->-335,26
2026-02-25 05:30:58,国际地址,-335->-309,-26
2026-02-25 07:55:28,国际地址,-309->-308,-1
2026-02-25 08:47:25,中国地址,-29->-42,13
2026-02-25 08:57:48,国际地址,-308->-309,1
2026-02-25 09:00:56,国际地址,-309->-308,-1
2026-02-25 09:10:17,中国地址,-42->-55,13
2026-02-25 10:06:28,中国地址,-55->-42,-13
2026-02-25 10:26:13,中国地址,-42->-29,-13
2026-02-25 11:40:07,国际地址,-308->-316,8
2026-02-25 12:19:51,国际地址,-316->-357,41
2026-02-25 12:20:53,国际地址,-357->-316,-41
2026-02-25 13:56:37,国际地址,-316->-326,10
2026-02-25 14:51:37,国际地址,-326->-316,-10
2026-02-25 16:07:22,国际地址,-316->-317,1
2026-02-25 16:45:45,国际地址,-317->-309,-8
2026-02-25 17:13:45,国际地址,-309->-313,4
2026-02-25 17:36:34,国际地址,-313->-333,20
2026-02-25 18:13:54,国际地址,-333->-334,1
2026-02-25 19:31:40,国际地址,-334->-335,1
2026-02-25 21:58:55,国际地址,-335->-337,2
2026-02-25 22:02:01,国际地址,-337->-339,2
2026-02-25 23:38:11,国际地址,-339->-342,3
2026-02-26 00:12:35,日本地址,-21->-31,10
2026-02-26 00:16:45,日本地址,-31->-42,11
2026-02-26 00:34:15,国际地址,-342->-346,4
2026-02-26 00:40:30,国际地址,-346->-347,1
2026-02-26 01:36:39,国际地址,-347->-348,1
2026-02-26 01:54:20,国际地址,-348->-350,2
2026-02-26 03:06:04,国际地址,-350->-351,1
2026-02-26 03:20:37,国际地址,-351->-354,3
2026-02-26 03:24:46,国际地址,-354->-351,-3
2026-02-26 03:27:53,国际地址,-351->-354,3
2026-02-26 03:29:58,国际地址,-354->-357,3
2026-02-26 04:45:51,国际地址,-357->-361,4
2026-02-26 04:51:45,韩国地址,-225->-246,21
2026-02-26 07:47:48,国际地址,-361->-360,-1
2026-02-26 07:49:53,国际地址,-360->-364,4
2026-02-26 08:20:01,国际地址,-364->-365,1
2026-02-26 11:30:12,国际地址,-365->-368,3
2026-02-26 11:50:58,国际地址,-368->-446,78
2026-02-26 14:30:40,国际地址,-446->-447,1
2026-02-26 14:32:44,国际地址,-447->-468,21
2026-02-26 15:25:09,国际地址,-468->-473,5
2026-02-26 16:47:36,中国地址,-29->-30,1
2026-02-26 20:51:48,日本地址,-42->-52,10
2026-02-27 00:04:17,韩国地址,-246->-299,53
2026-02-27 00:51:13,韩国地址,-299->-344,45
2026-02-27 00:53:18,韩国地址,-344->-299,-45
2026-02-27 00:54:21,韩国地址,-299->-338,39
2026-02-27 01:18:26,国际地址,-473->-484,11
2026-02-27 03:48:14,国际地址,-484->-487,3
2026-02-27 04:55:50,国际地址,-487->-494,7
2026-02-27 07:13:09,国际地址,-494->-499,5
2026-02-27 07:22:31,国际地址,-499->-500,1
2026-02-27 07:53:42,国际地址,-500->-526,26
2026-02-27 07:59:46,韩国地址,-338->-369,31
2026-02-27 08:14:30,国际地址,-526->-528,2
2026-02-27 08:21:47,国际地址,-528->-529,1
2026-02-27 09:14:48,中国地址,-30->-43,13
2026-02-27 09:15:51,中国地址,-43->-56,13
2026-02-27 09:50:59,韩国地址,-369->-473,104
2026-02-27 09:57:12,韩国地址,-473->-577,104
2026-02-27 10:21:14,中国地址,-56->-69,13
2026-02-27 11:10:46,韩国地址,-577->-581,4
2026-02-27 11:26:30,中国地址,-69->-56,-13
2026-02-27 11:27:01,国际地址,-529->-533,4
2026-02-27 11:30:08,国际地址,-533->-537,4
2026-02-27 12:44:49,国际地址,-537->-550,13
2026-02-27 13:07:38,国际地址,-550->-581,31
2026-02-27 13:35:38,国际地址,-581->-582,1
2026-02-27 15:06:51,国际地址,-582->-584,2
2026-02-27 15:48:14,国际地址,-584->-593,9
2026-02-27 16:46:06,国际地址,-593->-589,-4
