时间,商品名称,库存变化,单笔销量
2026-03-01 10:24:56,大陆地址,初始库存: 107907,0
2026-03-01 10:24:56,非大陆地址,初始库存: 107907,0
2026-03-01 11:13:44,大陆地址,107907 -> 107901,6
2026-03-01 11:14:06,非大陆地址,107907 -> 107902,5
2026-03-01 12:31:25,大陆地址,107901 -> 107897,4
2026-03-01 13:29:46,非大陆地址,107902 -> 107893,9
2026-03-01 13:30:08,非大陆地址,107893 -> 107883,10
2026-03-01 13:31:24,非大陆地址,107883 -> 107893,-10
2026-03-01 13:48:46,非大陆地址,107893 -> 107881,12
2026-03-01 14:00:10,非大陆地址,107881 -> 107890,-9
2026-03-01 14:20:08,非大陆地址,107890 -> 107902,-12
2026-03-01 17:05:25,非大陆地址,107902 -> 107898,4
2026-03-01 17:10:18,大陆地址,107897 -> 107893,4
2026-03-01 17:12:50,非大陆地址,107898 -> 107897,1
2026-03-01 17:33:39,非大陆地址,107897 -> 107893,4
2026-03-01 17:40:09,非大陆地址,107893 -> 107897,-4
2026-03-01 17:50:06,非大陆地址,107897 -> 107898,-1
2026-03-01 18:10:11,非大陆地址,107898 -> 107902,-4
2026-03-01 18:57:00,大陆地址,107893 -> 107892,1
2026-03-01 19:32:58,大陆地址,107892 -> 107868,24
2026-03-01 19:47:59,非大陆地址,107902 -> 107890,12
2026-03-01 19:53:56,大陆地址,107868 -> 107828,40
2026-03-01 19:58:40,大陆地址,107828 -> 107826,2
2026-03-01 20:20:12,非大陆地址,107890 -> 107902,-12
2026-03-01 20:23:49,非大陆地址,107902 -> 107890,12
2026-03-01 20:24:32,大陆地址,107826 -> 107797,29
2026-03-01 20:30:09,大陆地址,107797 -> 107837,-40
2026-03-01 22:48:40,大陆地址,107837 -> 107836,1
2026-03-01 22:49:01,大陆地址,107836 -> 107837,-1
2026-03-01 22:51:22,大陆地址,107837 -> 107817,20
2026-03-01 23:22:37,大陆地址,107817 -> 107815,2
2026-03-02 00:45:56,大陆地址,107815 -> 107817,-2
2026-03-02 03:11:57,非大陆地址,107890 -> 107862,28
2026-03-02 03:19:55,非大陆地址,107862 -> 107857,5
2026-03-02 03:35:29,大陆地址,107817 -> 107815,2
2026-03-02 03:50:09,非大陆地址,107857 -> 107862,-5
2026-03-02 07:45:16,大陆地址,107815 -> 107814,1
2026-03-02 08:20:04,大陆地址,107814 -> 107815,-1
2026-03-02 09:26:42,非大陆地址,107862 -> 107858,4
2026-03-02 10:00:13,非大陆地址,107858 -> 107862,-4
2026-03-02 10:31:08,非大陆地址,107862 -> 107861,1
2026-03-02 10:32:57,非大陆地址,107861 -> 107860,1
2026-03-02 10:35:29,非大陆地址,107860 -> 107859,1
2026-03-02 10:36:56,非大陆地址,107859 -> 107860,-1
2026-03-02 10:43:38,非大陆地址,107860 -> 107861,-1
2026-03-02 11:25:47,非大陆地址,107861 -> 107841,20
2026-03-02 12:00:11,非大陆地址,107841 -> 107861,-20
2026-03-02 13:45:48,非大陆地址,107861 -> 107841,20
2026-03-02 14:20:09,非大陆地址,107841 -> 107861,-20
2026-03-02 15:50:02,大陆地址,107815 -> 107811,4
2026-03-02 16:27:28,大陆地址,107811 -> 107809,2
2026-03-02 16:32:02,大陆地址,107809 -> 107808,1
2026-03-02 16:39:50,大陆地址,107808 -> 107806,2
2026-03-02 16:57:48,大陆地址,107806 -> 107786,20
2026-03-02 17:00:10,大陆地址,107786 -> 107788,-2
2026-03-02 17:05:51,非大陆地址,107861 -> 107841,20
2026-03-02 17:13:40,大陆地址,107788 -> 107756,32
2026-03-02 17:40:08,非大陆地址,107841 -> 107861,-20
2026-03-02 20:34:24,大陆地址,初始库存: 107756,0
